Joo Koon ,Pioneer ,4
Pioneer ,Boon Lay ,2
Boon Lay ,Lakeside ,2
Lakeside ,Chinese Garden ,2
Chinese Garden ,Jurong East ,2
Jurong East ,Clementi ,4
Clementi ,Dover ,3
Dover ,Buona Vista ,2
Buona Vista ,Commonwealth ,2
Commonwealth ,Queenstown ,2
Queenstown ,Redhill ,2
Redhill ,Tiong Bahru ,2
Tiong Bahru ,Outram Park ,2
Outram Park ,Tanjong Pagar ,2
Tanjong Pagar ,Raffles Place ,2
Raffles Place ,City Hall ,2
City Hall ,Bugis ,2
Bugis ,Lavender ,2
Lavender ,Kallang ,2
Kallang ,Aljunied ,2
Aljunied ,Paya Lebar ,2
Paya Lebar ,Eunos ,2
Eunos ,Kembangan ,1
Kembangan ,Bedok ,3
Bedok ,Tanah Merah ,3
Tanah Merah ,Expo ,9
Expo ,Changi Airport ,5
Tanah Merah ,Simei ,3
Simei ,Tampines ,2
Tampines ,Pasir Ris ,3
Marina Bay ,Raffles Place ,2
Raffles Place ,City Hall ,2
City Hall ,Dhoby Ghaut ,2
Dhoby Ghaut ,Somerset ,2
Somerset ,Orchard ,2
Orchard ,Newton ,2
Newton ,Novena ,2
Novena ,Toa Payoh ,2
Toa Payoh ,Braddell ,1
Braddell ,Bishan ,2
Bishan ,Ang Mo Kio ,3
Ang Mo Kio ,Yio Chu Kang ,3
Yio Chu Kang ,Khatib ,5
Khatib ,Yishun ,2
Yishun ,Sembawang ,4
Sembawang ,Admiralty ,3
Admiralty ,Woodlands ,3
Woodlands ,Marsiling ,2
Marsiling ,Kranji ,2
Kranji ,Yew Tee ,5
Yew Tee ,Chua Chu Kang ,2
Chua Chu Kang ,Bukit Gombak ,4
Bukit Gombak ,Bukit Batok ,2
Bukit Batok ,Jurong East ,3
Punggol ,Sengkang ,3
Sengkang ,Buangkok ,2
Buangkok ,Hougang ,2
Hougang ,Kovan ,2
Kovan ,Serangoon ,3
Serangoon ,Woodleigh ,2
Woodleigh ,Potong Pasir ,1
Potong Pasir ,Boon Keng ,3
Boon Keng ,Farrer Park ,2
Farrer Park ,Little India ,2
Little India ,Dhoby Ghaut ,1
Dhoby Ghaut ,Clarke Quay ,2
Clarke Quay ,Chinatown ,1
Chinatown ,Outram Park ,2
Outram Park ,Harbourfront ,4
Harbourfront ,Telok Blangah ,3
Telok Blangah ,Labrador Park ,1
Labrador Park ,Pasir Panjang ,3
Pasir Panjang ,Haw Par Villa ,2
Haw Par Villa ,Kent Ridge ,2
Kent Ridge ,One-north ,2
One-north ,Buona Vista ,2
Buona Vista ,Holland Village ,2
Holland Village ,Farrer Road ,2
Farrer Road ,Botanic Gardens ,2
Botanic Gardens ,Caldecott ,5
Caldecott ,Marymount ,3
Marymount ,Bishan ,2
Bishan ,Lorong Chuan ,3
Lorong Chuan ,Serangoon ,2
Serangoon ,Bartley ,2
Bartley ,Tai Seng ,3
Tai Seng ,MacPherson ,2
MacPherson ,Paya Lebar ,2
Paya Lebar ,Dakota ,2
Dakota ,Mountbatten ,2
Mountbatten ,Stadium ,2
Stadium ,Nicoll Highway ,2
Nicoll Highway ,Promenade ,2
Promenade ,Bayfront ,6
Bayfront ,Marina Bay ,2
Promenade ,Esplanade ,2
Esplanade ,Bras Basah ,2
Bras Basah ,Dhoby Ghaut ,2
